"HolderAddress","Quantity","PendingBalanceUpdate"
"0x3c1cf8e31e7b6e46baa9856c8d52f8f10562389f","1","No"
"0x3c902bb7f5db6ca6a3f877b971f13f9f0c5973b0","1","No"
"0x3dc118a44e4bde24d2d62d8ead994c0acc97093f","1","No"
"0x3e569ecc7de9e14edd9c155b2c81485fb265a58c","1","No"
"0x3e86eac93a2dbb4faeb8709d77d451aeda710ef9","1","No"
"0x3ea245fc5909a55e426a2c044aa4b48a143f9819","1","No"
"0x3f454ba7f8a3f57ba28a40edcb06e59d1544d6a8","1","No"
"0x408e68023e12bfc7d29ca7d3656395d3de0749e0","1","No"
"0x40ab08eb04a6be426957cd3012923d5d04363479","1","No"
"0x4181d4fd454d38d25e49db79f56fef1ad269ee70","1","No"
"0x41bd9ede67476deff711c1ddbd702b741dcc23d8","1","No"
"0x41cf592e872a21f74f87c8892ab72ecc7c873537","1","No"
"0x42ebecf5cdf748e1e6fed68c055a76d976ee40b1","1","No"
"0x4329a0d5f9f122d12d2fa3b6a9f22223dabf9539","1","No"
"0x44100f73c1d2bd44ba2db2ba180e9be585ff8641","1","No"
"0x45e2c1b07cce6c0c361bb420c13fa0c6154981e9","1","No"
"0x461ae8c33224aceb7f1259095dd2a334ad20f322","1","No"
"0x4641b1cde1adbb7b8277be4ec1af6eb33ac0dadf","1","No"
"0x478087e12db15302a364c64cdb79f14ae6c5c9b7","1","No"
"0x478849da9c519ded12d04ec6e896af6adf3cdd73","1","No"
"0x486b93068f8c9f8fc41e46ad22e4170852618e15","1","No"
"0x487c94ab0c95db758891fe63495e47bd43a91c27","1","No"
"0x49d87bdfe8c6c90c126fe7c358cdb52e87e501a2","1","No"
"0x4ac5ed4b31f4f0e16bd96bf2d9f96200d7c266af","1","No"
"0x4ad818a7b5eceea39d42dcd1cd75ecab3bfed6a4","1","No"
"0x4b191bf8b1046219b8b2c6951ef221575d8cf4e9","1","No"
"0x4d00af255c2886da69287c6fadf059ac874e1933","1","No"
"0x4dab65bb20d0536ebcc025f49457fe2c3ddc7cae","1","No"
"0x4f45ede6ca5c53ffa7f8a34a2f99a74dfe340c6b","1","No"
"0x4fccb7f46fa34bf24703a5382379139164b20ce7","1","No"
"0x5175d0b486bea85f81790b4f2ea9a2ecdd2bb968","1","No"
"0x51e9047a6bbec3c2a4c03c27382381b129e99e0e","1","No"
"0x52e9b75dd9e52390e8a7d38a5c81981a2cf710e7","1","No"
"0x530cf036ed4fa58f7301a9c788c9806624cefd19","1","No"
"0x53183f92cd9a57295b754677d849aa4bd9fbb90a","1","No"
"0x53ea900016c9b63f7fba97ed8c6ec87a0c6f497e","1","No"
"0x549b33a7b945bf854b13bbafa75b7d054bec4f54","1","No"
"0x5576d6d2bf1f1f6e7db42961c64d0f1a54fd0f47","1","No"
"0x558bc05e6aacac3dda96c43fcd242a11afd3865c","1","No"
"0x5805f982e1b16775f0e286f6653f95683b552808","1","No"
"0x589d7b427813268ae33528d648d65dc9fd031f2c","1","No"
"0x58d0f3da9c97de3c39f481e146f3568081d328a2","1","No"
"0x5a384227b65fa093dec03ec34e111db80a040615","1","No"
"0x5a6e40b29bf20e4f60e7becb571af5ad5796a3c4","1","No"
"0x5ac99b44512c07fc425f07a0ab4b1451c6c5dc90","1","No"
"0x5acce70cae148b520ff36dcf177ee78ba54ebc04","1","No"
"0x5b4255f1471199424e9f6fab6acd845c98746570","1","No"
"0x5b7f59ce1653ce3e672e470984cfa4bf8990605b","1","No"
"0x5bad9ff92dd07bca437f8da37491f99a65453c75","1","No"
"0x5bbb8b2b9b1ec756cb4f65eb53e219a7d39f4578","1","No"
